Test. Epoch 2. Iter 115/168.0, IoU = 0.68
Test. Epoch 2. Iter 116/168.0, IoU = 0.68
Test. Epoch 2. Iter 117/168.0, IoU = 0.67
Test. Epoch 2. Iter 118/168.0, IoU = 0.67
Test. Epoch 2. Iter 119/168.0, IoU = 0.67
Test. Epoch 2. Iter 120/168.0, IoU = 0.67
Test. Epoch 2. Iter 121/168.0, IoU = 0.67
Test. Epoch 2. Iter 122/168.0, IoU = 0.68
Test. Epoch 2. Iter 123/168.0, IoU = 0.68
Test. Epoch 2. Iter 124/168.0, IoU = 0.68
Test. Epoch 2. Iter 125/168.0, IoU = 0.68
Test. Epoch 2. Iter 126/168.0, IoU = 0.68
Test. Epoch 2. Iter 127/168.0, IoU = 0.68
Test. Epoch 2. Iter 128/168.0, IoU = 0.68
Test. Epoch 2. Iter 129/168.0, IoU = 0.68
Test. Epoch 2. Iter 130/168.0, IoU = 0.68
Test. Epoch 2. Iter 131/168.0, IoU = 0.68
Test. Epoch 2. Iter 132/168.0, IoU = 0.68
Test. Epoch 2. Iter 133/168.0, IoU = 0.68
Test. Epoch 2. Iter 134/168.0, IoU = 0.68
Test. Epoch 2. Iter 135/168.0, IoU = 0.68
Test. Epoch 2. Iter 136/168.0, IoU = 0.68
Test. Epoch 2. Iter 137/168.0, IoU = 0.68
Test. Epoch 2. Iter 138/168.0, IoU = 0.68
Test. Epoch 2. Iter 139/168.0, IoU = 0.68
Test. Epoch 2. Iter 140/168.0, IoU = 0.68
Test. Epoch 2. Iter 141/168.0, IoU = 0.68
Test. Epoch 2. Iter 142/168.0, IoU = 0.68
Test. Epoch 2. Iter 143/168.0, IoU = 0.68
Test. Epoch 2. Iter 144/168.0, IoU = 0.68
Test. Epoch 2. Iter 145/168.0, IoU = 0.68
Test. Epoch 2. Iter 146/168.0, IoU = 0.68
